Name,price,type,bairro,address,url,latitude,longitude,tipo_novo
Skye - Hotel Unique,300,"Bebidas, Internacional",Jardim Paulista,"Hotel Unique, Avenida Brigadeiro Luís Antônio, 4700, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/skye-hotel-unique-jardim-paulista,-23.5816880000,-46.6668510000,Internacional
Z Deli Sandwich Shop,50,"Hamburgueria, Sandwich",Jardim Paulista,"Rua Haddock Lobo, 1386, Cerqueira César, Jardim Paulista, São Paulo 01414002",https://www.zomato.com/pt/sao-paulo-sp/z-deli-sandwich-shop-jardim-paulista,-23.5630730000,-46.6670790000,Hamburgueria
D.O.M.,600,"Contemporânea, Brasileira",Jardim Paulista,"Rua Barão de Capanema, 549, Cerqueira César, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/d-o-m-jardim-paulista,-23.5658560000,-46.6672430000,Contemporânea
Mocotó,120,"Brasileira, Nordestina",Vila Maria,"Avenida Nossa Senhora do Loreto, 1100, Vila Maria, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/mocot%C3%B3-vila-maria-zona-norte,-23.4862540000,-46.5816910000,Brasileira
Coco Bambú,200,Marisqueira,Itaim Bibi,"Avenida Antônio Joaquim de Moura Andrade, 737, Itaim Bibi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/coco-bamb%C3%BA-itaim-bibi,-23.5852270000,-46.6704400000,Comida de bar
Paris 6 Classique,200,Francesa,Jardim Paulista,"Rua Haddock Lobo, 1240, Cerqueira César, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/paris-6-classique-jardim-paulista,-23.5615680000,-46.6660410000,Francesa
Esquina Mocotó,100,"Brasileira, Nordestina",Vila Maria,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/esquina-mocot%C3%B3-vila-maria,-23.4865350000,-46.5816720000,Brasileira
A Casa do Porco,100,Comida de bar,República,"Rua Araújo, 124, República, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/a-casa-do-porco-rep%C3%BAblica,-23.5449050000,-46.6447100000,Comida de bar
Kinoshita,230,Sushi,Moema,"Rua Jacques Félix, 405, Vila Nova Conceição, Moema, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/kinoshita-moema,-23.5923333333,-46.6713333333,Japonesa
Bistrot de Paris,200,Francesa,Jardim Paulista,"Rua Augusta, 2542, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/bistrot-de-paris-jardim-paulista,-23.5633800000,-46.6658000000,Francesa
Sainte Marie Gastronomia,120,"Libanesa, Árabe",Vila Sônia,"Rua Dom João Batista da Costa, 70, Vila Sônia, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/sainte-marie-gastronomia-vila-s%C3%B4nia,-23.6092070000,-46.7469580000,Árabe
A Figueira Rubaiyat,300,"Churrasco, Grelhados, Brasileira",Jardim Paulista,"Rua Haddock Lobo, 1738, Cerqueira César, Jardim Paulista, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/a-figueira-rubaiyat-jardim-paulista,-23.5655000000,-46.6698333333,Churrasco
Jam,300,"Sushi, Japonesa",Jardim Paulista,"Rua Bela Cintra, 1929, Jardim Paulista, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/jam-jardim-paulista-zona-oeste,-23.5618333333,-46.6681666667,Japonesa
Cantina Famiglia Mancini,250,"Italiana, Pizza","Bela Vista, Centro","Rua Avanhandava, 81, Bela Vista, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/cantina-famiglia-mancini-bela-vista,-23.5506666667,-46.6451666667,Pizza
Tanit,200,"Espanhola, Tapas",Jardim Paulista,"Rua Oscar Freire, 145, Cerqueira César, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/tanit-jardim-paulista,-23.5678300000,-46.6638350000,Espanhola
Djapa,160,"Japonesa, Sushi",Moema,"Rua Gaivota,168, Moema, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/djapa-moema,-23.5985770000,-46.6631640000,Japonesa
